
Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.


queryDateTime:2016-09-02T17:47:59PDT



Main Information Table for Searching NED within 500.000 arcmin of 194.950000, 27.980000



Equinox:J2000.0



CoordSystem:Equatorial

No.	Object Name	RA(deg)	DEC(deg)	Type	Velocity	Redshift	Redshift Flag	Magnitude and Filter	Distance (arcmin)	References	Notes	Photometry Points	Positions	Redshift Points	Diameter Points	Associations
716	NGC 4842B	194.40060 	  27.48480 	G	  7234	 0.024130 	    	15.9g	 41.643	43	1	13	4	7	5	0
717	SDSS J125736.13+272905.3	194.40057 	  27.48481 	G	  7239	 0.024148 	    	15.9g	 41.643	8	0	25	2	3	4	1
718	SDSS J125647.85+281131.6	194.19941 	  28.19212 	G	  5825	 0.019429 	    	18.93	 41.720	4	0	19	2	0	4	0
719	SDSS J130030.83+271800.6	195.12857 	  27.30033 	G	  7706	 0.025706 	    	18.94	 41.870	6	0	2	2	0	0	0
720	IC 4111	195.73571 	  28.07041 	G	  7759	 0.025881 	    	16.04	 41.967	44	0	38	9	6	8	0
721	2MASX J12563890+2804518	194.16188 	  28.08115 	G	  8126	 0.027106 	    	16.4g	 42.179	16	1	35	6	3	6	0
722	NGC 4841B	194.39119 	  28.48226 	G	  6302	 0.021021 	    	14.3g	 42.199	94	4	29	10	12	8	0
723	NGC 4841	194.38708 	  28.47944 	GPair	  6784	 0.022629 	    	13.5 	 42.232	30	0	15	2	0	0	0
724	NGC 4841A	194.38314 	  28.47694 	G	  6775	 0.022599 	    	13.6g	 42.273	119	5	51	10	17	14	0
725	SDSS J130023.89+271712.9	195.09966 	  27.28682 	G	  7277	 0.024273 	    	19.13	 42.345	6	0	2	2	0	0	0
726	KUG 1257+275	195.06019 	  27.28072 	G	 11104	 0.037039 	    	16.0g	 42.364	30	1	36	7	6	6	0
727	SDSS J125805.75+272257.8	194.52398 	  27.38274 	G	  7285	 0.024300 	    	20.57	 42.386	6	0	18	2	0	4	0
728	SDSS J130037.14+283950.8	195.15476 	  28.66414 	G	  7077	 0.023606 	    	17.5g	 42.449	19	1	51	5	4	8	0
729	SDSS J125638.40+280622.5	194.16002 	  28.10628 	G	  6465	 0.021566 	    	17.4g	 42.514	10	0	17	3	4	4	0
730	SDSS J125738.73+272718.8	194.41139 	  27.45524 	G	  7588	 0.025311 	    	19.03	 42.542	11	0	33	4	0	4	0
731	SDSS J130211.13+282723.7	195.54643 	  28.45662 	G	  6133	 0.020459 	    	17.6g	 42.569	10	0	40	5	2	8	0
732	SDSS J125636.89+275305.5	194.15376 	  27.88489 	G	  6297	 0.021006 	    	18.0g	 42.593	7	0	21	3	2	4	0
733	SDSS J125759.81+272331.1	194.49925 	  27.39199 	G	  7375	 0.024600 	    	19.0g	 42.641	6	0	18	2	0	4	0
734	NGC 4931	195.75365 	  28.03249 	G	  5443	 0.018156 	    	13.9g	 42.689	102	1	55	13	11	11	1
735	SDSS J125745.74+272545.4	194.44062 	  27.42934 	G	  8318	 0.027746 	    	16.8g	 42.706	25	0	29	7	4	4	0
736	NGC 4839	194.35151 	  27.49782 	G	  7362	 0.024557 	    	13.4g	 42.978	290	7	84	20	22	11	0
737	SDSS J125717.71+282619.7	194.32383 	  28.43881 	G	  6910	 0.023049 	    	18.5g	 43.057	6	0	26	4	1	4	0
738	2MASX J12593015+2842008	194.87549 	  28.70014 	G	  7118	 0.023743 	    	17.8g	 43.387	8	0	50	5	2	10	0
739	SDSS J130027.86+271618.3	195.11609 	  27.27177 	G	  7769	 0.025913 	    	19.22	 43.401	5	0	17	3	0	4	0
740	LEDA 083685	194.34550 	  27.49300 	G	  8241	 0.027489 	    	17.3r	 43.409	24	1	1	2	3	0	1
741	SDSS J125722.92+272934.6	194.34551 	  27.49296 	G	  8236	 0.027474 	    	17.4g	 43.410	5	0	17	1	0	4	0
742	SDSS J125904.60+284114.5	194.76918 	  28.68737 	G	  6892	 0.022990 	PHOT	19.3g	 43.503	4	0	23	3	1	4	0
743	2MASX J12575652+2722554	194.48549 	  27.38230 	G	  5193	 0.017322 	    	17.5g	 43.534	19	0	38	5	4	6	0
744	SDSS J130151.07+272442.5	195.46278 	  27.41180 	G	  6127	 0.020438 	    	18.98	 43.639	5	0	9	4	0	0	0
745	SDSS J125640.34+281303.9	194.16810 	  28.21780 	G	  8304	 0.027700 	    	17.5g	 43.775	8	0	11	4	1	0	1
746	NGC 4817	194.12423 	  27.94001 	G	  6668	 0.022242 	    	15.3g	 43.828	42	1	36	9	8	6	0
747	SDSS J130015.63+271523.9	195.06513 	  27.25666 	G	  7135	 0.023800 	    	19.01	 43.830	7	0	17	3	0	4	0
748	[MBC2001] 165525	194.34029 	  27.48630 	G	  7675	 0.025600 	    	20.27	 43.885	2	0	2	0	0	0	0
749	SDSS J125639.43+281254.4	194.16431 	  28.21513 	G	 11491	 0.038330 	PHOT	21.3g	 43.913	1	0	15	1	1	4	0
750	SDSS J125725.05+282945.2	194.35439 	  28.49590 	G	  7196	 0.024003 	    	17.4g	 44.151	8	0	44	6	2	8	0
751	SDSS J125721.70+272829.4	194.34045 	  27.47485 	G	  6902	 0.023023 	    	18.1g	 44.347	17	0	29	4	1	4	0
752	2MASX J12562842+2804570	194.11860 	  28.08254 	G	  6979	 0.023278 	    	17.38	 44.460	13	0	30	5	1	6	0
753	SDSS J125650.80+273740.0	194.21170 	  27.62785 	G	  8113	 0.027062 	    	17.8g	 44.517	14	0	32	5	4	4	0
754	CGCG 160-114	195.67002 	  28.37131 	G	  7406	 0.024704 	    	15.2g	 44.738	50	0	67	10	9	13	0
755	SDSS J125818.58+271840.3	194.57742 	  27.31119 	*	  7405	 0.024700 	    	22.6g	 44.748	2	0	0	0	1	0	1
756	KUG 1255+275	194.57758 	  27.31081 	G	  7447	 0.024840 	    	16.5:	 44.766	52	2	24	7	6	2	1
757	GALEXASC J125845.78+284133.6  	194.69043 	  28.69260 	G	  6682	 0.022289 	    	17.97	 44.900	6	0	10	4	0	0	3
758	SDSS J125757.98+272102.8	194.49159 	  27.35079 	G	  8664	 0.028900 	    	19.56	 44.929	9	0	25	3	0	4	0
759	SDSS J130214.14+283025.5	195.55895 	  28.50710 	G	  6836	 0.022802 	    	18.5g	 45.124	6	0	37	4	1	8	0
760	2MASX J13030523+2747024	195.77165 	  27.78413 	G	  7671	 0.025588 	    	16.69	 45.133	13	0	34	5	1	6	0
761	2MASX J12563594+2743078	194.14971 	  27.71884 	G	  6719	 0.022413 	    	17.2g	 45.255	10	0	26	3	1	6	0
762	2MASX J12570431+2731328	194.26810 	  27.52594 	G	  8328	 0.027779 	    	16.9g	 45.312	33	0	34	7	3	6	0
763	CGCG 160-027	194.11094 	  27.83064 	G	  6297	 0.021004 	    	15.1g	 45.383	60	0	35	10	6	8	0
764	2MASX J13023199+2826223	195.63320 	  28.43933 	G	  5982	 0.019954 	    	16.6g	 45.436	15	0	54	7	3	10	0
765	SDSS J125908.54+284341.5	194.78567 	  28.72822 	G	  7106	 0.023702 	    	17.0g	 45.724	9	0	45	6	2	8	0
766	2MASX J13025942+2816313	195.74767 	  28.27536 	G	  7142	 0.023823 	    	17.3g	 45.777	10	0	28	3	2	6	0
767	SDSS J130308.38+281047.7	195.78494 	  28.17993 	G	  5972	 0.019920 	PHOT	21.8g	 45.798	1	0	19	1	1	4	0
768	MRK 0056	194.64717 	  27.26486 	G	  7368	 0.024577 	    	15.6g	 45.829	110	3	50	13	12	4	1
769	ABELL 1656:[EF2011] 3580	194.08461 	  27.94502 	G	  9381	 0.031290 	PHOT	     	 45.909	1	0	0	0	1	0	0
770	SDSS J130147.97+272117.2	195.45003 	  27.35484 	G	  6072	 0.020255 	    	18.16	 45.967	7	0	6	4	1	0	0
771	SDSS J125620.37+280302.8	194.08493 	  28.05082 	G	  7608	 0.025378 	    	18.51	 46.018	8	0	21	4	1	4	0
772	2MASX J12563516+2816318	194.14666 	  28.27545 	G	  6946	 0.023170 	    	15.6g	 46.056	24	0	35	7	2	6	0
773	NGC 4934	195.81768 	  28.03042 	G	  6041	 0.020151 	    	14.7g	 46.064	73	1	57	9	9	11	0
774	2MASX J12563420+2741150	194.14237 	  27.68735 	G	  6843	 0.022826 	    	17.1g	 46.310	21	0	34	6	4	6	0
775	SDSS J130121.77+284019.0	195.34072 	  28.67195 	G	  8694	 0.029000 	    	18.2 	 46.362	5	0	15	1	1	4	1
776	2MASX J13031267+2810214	195.80264 	  28.17250 	G	  7243	 0.024160 	    	17.53	 46.593	12	0	26	3	2	6	0
777	SDSS J125749.76+283727.3	194.45735 	  28.62426 	G	  7495	 0.025000 	    	17.7g	 46.600	8	0	26	4	0	4	0
778	CGCG 160-037	194.28925 	  27.46640 	G	  7463	 0.024894 	    	15.0g	 46.703	81	0	42	7	12	10	0
779	MRK 0055	194.35521 	  27.40461 	G	  4857	 0.016200 	    	15.8g	 46.802	66	5	69	10	8	8	2
780	SDSS J125831.89+271508.2	194.63291 	  27.25229 	G	  7585	 0.025300 	    	20.39	 46.804	4	0	18	2	0	4	0
781	KUG 1259+289	195.35448 	  28.67723 	G	  8762	 0.029227 	    	15.0g	 46.973	81	1	75	11	13	12	1
782	2MASX J12562629+2743380	194.10959 	  27.72726 	G	  6836	 0.022802 	    	16.82	 47.091	18	0	34	5	2	6	0
783	2MASX J12581939+2841547	194.58064 	  28.69853 	G	  5789	 0.019309 	    	17.3g	 47.319	8	0	46	4	2	10	0
784	2MASX J13032279+2756094	195.84487 	  27.93598 	G	  6016	 0.020067 	    	16.41	 47.499	17	0	35	5	3	6	0
785	SDSS J130110.72+271447.3	195.29479 	  27.24659 	G	  6226	 0.020768 	    	17.74	 47.670	11	0	2	3	1	0	0
786	SDSS J125714.19+272518.3	194.30900 	  27.42197 	G	 11602	 0.038700 	PHOT	22.6g	 47.755	4	0	19	1	1	3	2
787	SDSS J130257.32+282232.1	195.73887 	  28.37562 	G	  8853	 0.029531 	    	18.0g	 48.002	7	0	41	5	2	8	0
788	2MASX J13032529+2800504	195.85554 	  28.01400 	G	  7954	 0.026532 	    	16.27	 48.017	17	0	33	5	3	6	0
789	CGCG 160-023	194.08246 	  27.75103 	G	  6883	 0.022959 	    	15.2g	 48.023	59	1	39	11	7	6	0
790	SDSS J125614.26+274856.0	194.05942 	  27.81559 	G	  6669	 0.022245 	    	18.81	 48.244	6	0	21	3	2	4	0
791	SDSS J130128.75+271556.3	195.36983 	  27.26564 	G	  5997	 0.020004 	    	18.94	 48.324	4	0	15	2	0	4	0
792	2MASX J12564235+2732538	194.17664 	  27.54825 	G	  7573	 0.025261 	    	17.4g	 48.548	24	0	39	6	5	6	0
793	SDSS J125638.44+273415.3	194.16022 	  27.57094 	G	  7596	 0.025337 	    	18.1g	 48.582	16	0	25	4	0	4	0
794	SDSS J130147.82+283936.7	195.44925 	  28.66022 	G	  8637	 0.028810 	    	17.8g	 48.591	8	0	26	5	2	4	0
795	CGCG 160-058	194.53846 	  28.70859 	G	  7616	 0.025404 	    	15.3g	 48.819	117	1	102	12	17	16	1
796	2MASXi J1302382+283006	195.65897 	  28.50191 	G	  5756	 0.019200 	    	17.1g	 48.836	12	0	41	6	3	8	0
797	SDSS J125828.35+271315.2	194.61816 	  27.22088 	G	  7405	 0.024700 	    	19.6g	 48.846	8	0	2	2	1	0	0
798	2MASX J12560986+2750390	194.04126 	  27.84425 	G	  7646	 0.025504 	    	15.4g	 48.865	19	0	35	8	6	6	0
799	2MASX J12571076+2724177	194.29483 	  27.40490 	G	  6215	 0.020731 	    	15.7g	 49.012	52	0	33	7	9	6	0
800	2MASX J12561096+2809470	194.04574 	  28.16317 	G	  8698	 0.029014 	    	16.76	 49.118	11	0	36	5	1	6	0
801	SDSS J125655.93+272744.6	194.23307 	  27.46239 	G	  7627	 0.025441 	    	17.9g	 49.137	17	0	34	5	4	4	1
802	2MASX J13023519+2726213	195.64658 	  27.43944 	G	  5400	 0.018012 	    	16.2g	 49.204	18	0	26	4	1	6	0
803	SDSS J125603.05+275818.0	194.01274 	  27.97169 	G	  8997	 0.030010 	PHOT	20.5g	 49.667	1	0	23	2	1	4	0
804	2MASX J13033120+2805318	195.88014 	  28.09232 	G	  6336	 0.021133 	    	17.16	 49.718	8	0	34	5	1	6	0
805	NGC 4816	194.05062 	  27.74548 	G	  6915	 0.023066 	    	13.7g	 49.739	121	3	62	9	10	11	0
806	2MASX J12591638+2709288	194.81836 	  27.15807 	G	  6692	 0.022322 	    	16.1g	 49.810	14	0	37	5	5	6	1
807	SDSS J125734.68+271837.0	194.39462 	  27.31031 	G	  7442	 0.024824 	    	18.33	 49.858	14	0	14	5	1	0	0
808	2MASX J12560272+2802525	194.01142 	  28.04797 	G	  7397	 0.024675 	    	17.4g	 49.884	10	0	11	3	3	2	0
809	ABELL 1656:[GMP83] 5129	194.26100 	  27.41258 	G	  7435	 0.024800 	    	20.08	 49.989	5	0	3	1	0	0	0
810	2MASX J12560151+2802175	194.00648 	  28.03837 	G	  5629	 0.018776 	:   	16.6 	 50.103	12	0	29	4	1	6	0
811	2MASX J12582526+2711597	194.60542 	  27.19999 	G	  8045	 0.026835 	    	17.1g	 50.260	23	0	38	5	2	6	0
812	SDSS J130251.24+282856.6	195.71354 	  28.48244 	G	  7007	 0.023373 	    	17.6g	 50.378	10	0	27	5	3	4	0
813	2MASX J12563418+2732200	194.14247 	  27.53895 	G	  7105	 0.023700 	    	15.4g	 50.384	52	0	41	9	7	6	0
814	2MASX J12555969+2757185	193.99900 	  27.95507 	G	  8108	 0.027047 	    	16.6g	 50.418	16	0	34	5	4	6	0
815	SDSS J130232.57+272336.5	195.63575 	  27.39349 	G	  5470	 0.018247 	    	18.2 	 50.654	8	0	25	4	0	4	0
816	MRK 0057	194.65537 	  27.17625 	G	  7664	 0.025564 	    	15.4g	 50.707	115	3	60	12	14	8	1
817	SDSS J125647.05+272726.3	194.19604 	  27.45731 	G	  7285	 0.024300 	    	20.18	 50.864	6	0	18	2	0	4	0
818	SDSS J130336.57+280552.6	195.90231 	  28.09768 	G	  6198	 0.020674 	    	18.96	 50.924	6	0	6	3	0	0	0
819	2MASX J13020552+2717499	195.52299 	  27.29727 	G	  7258	 0.024210 	    	15.57	 51.045	16	0	30	5	1	6	0
820	2MASX J13032152+2818324	195.83981 	  28.30904 	G	  5519	 0.018409 	    	16.94	 51.048	13	0	34	5	2	6	0
821	2MASX J12555742+2754175	193.98941 	  27.90493 	G	  6551	 0.021852 	    	16.7g	 51.115	17	0	31	4	4	6	0
822	CGCG 160-083	195.05836 	  28.82817 	G	  7365	 0.024567 	    	15.0g	 51.210	48	0	61	9	7	14	0
823	SDSS J130100.32+284731.7	195.25136 	  28.79216 	G	  8045	 0.026835 	    	18.0g	 51.261	7	0	44	5	1	8	0
824	SDSS J125755.37+271355.2	194.48073 	  27.23202 	G	  6473	 0.021591 	    	18.1g	 51.348	12	0	30	3	2	4	0
825	SDSS J130335.95+281001.2	195.89985 	  28.16697 	G	  6573	 0.021925 	    	18.35	 51.522	11	0	21	4	2	4	0
826	SDSS J130254.18+283015.8	195.72579 	  28.50441 	G	  8274	 0.027600 	    	18.4g	 51.686	4	0	25	4	1	4	0
827	2MASX J12555994+2811125	193.99978 	  28.18695 	G	  5600	 0.018680 	    	16.92	 51.810	9	0	33	5	1	6	0
828	2MASX J12570166+2722198	194.25709 	  27.37209 	G	  7012	 0.023390 	    	16.0g	 51.826	24	0	38	5	3	6	0
829	2MASX J13033008+2816284	195.87512 	  28.27471 	G	  6410	 0.021381 	    	17.1g	 52.048	10	0	26	3	2	6	0
830	2MASX J12560958+2818390	194.03977 	  28.31089 	G	  7967	 0.026575 	    	16.85	 52.088	11	0	34	5	2	6	0
831	2MASX J12564777+2725158	194.19908 	  27.42100 	G	  7762	 0.025891 	    	16.5g	 52.117	32	1	23	7	4	2	0
832	SDSS J130333.69+281421.9	195.89040 	  28.23940 	G	  8147	 0.027175 	    	18.17	 52.145	11	0	10	4	1	0	0
833	SDSS J125707.66+272025.9	194.28195 	  27.34055 	G	  7288	 0.024310 	    	18.2g	 52.273	13	0	28	3	3	4	0
834	SDSS J125623.36+273238.5	194.09736 	  27.54404 	G	  7361	 0.024552 	    	19.11	 52.283	7	0	27	4	0	4	0
835	SDSS J125640.93+272651.8	194.17054 	  27.44772 	G	  7310	 0.024384 	    	17.1r	 52.288	18	0	19	4	1	0	0
836	MRK 0053	194.02542 	  27.67811 	G	  4968	 0.016571 	    	15.4g	 52.296	109	3	61	14	12	4	1
837	SDSS J130159.32+284234.2	195.49725 	  28.70948 	G	  6079	 0.020278 	    	18.1g	 52.448	9	0	45	6	2	8	0
838	2MASX J13034624+2759129	195.94282 	  27.98693 	G	  6187	 0.020639 	    	17.8 	 52.606	11	0	34	5	1	6	0
839	NGC 4943	195.93727 	  28.08423 	G	  5602	 0.018686 	    	15.1g	 52.659	42	0	38	7	6	6	0
840	2MASX J12560642+2738530	194.02686 	  27.64805 	G	  7593	 0.025327 	    	16.63	 52.883	18	0	26	4	3	6	0
841	2MASX J12591668+2706218	194.81938 	  27.10608 	G	  8412	 0.028059 	    	16.7g	 52.893	28	1	39	5	2	6	1
842	SDSS J125659.79+272109.1	194.24913 	  27.35253 	*	 10757	 0.035880 	PHOT	20.2g	 52.957	3	0	13	2	2	4	0
843	2MASX J12554898+2754205	193.95418 	  27.90587 	G	  6930	 0.023116 	    	15.9g	 52.970	18	0	35	5	4	6	0
844	SDSS J125628.17+272859.2	194.11739 	  27.48312 	G	  8394	 0.028000 	    	20.04	 53.330	4	0	23	2	0	4	0
845	SDSS J125601.92+273952.8	194.00804 	  27.66450 	G	  6148	 0.020507 	    	18.72	 53.448	10	0	10	4	0	0	0
846	IC 4133	195.96165 	  27.98838 	G	  6358	 0.021208 	    	15.37	 53.604	66	0	36	9	9	7	0
847	SDSS J130055.17+270717.0	195.23000 	  27.12160 	G	  6505	 0.021700 	    	18.94	 53.614	7	0	2	2	0	0	0
848	2MASX J13035047+2803159	195.96040 	  28.05442 	G	  6299	 0.021011 	    	17.27	 53.705	14	0	34	5	3	6	0
849	SDSS J130337.05+281712.3	195.90441 	  28.28676 	G	  9905	 0.033040 	PHOT	22.1g	 53.748	1	0	15	1	1	3	0
850	SDSS J125956.45+285240.4	194.98524 	  28.87791 	G	  6050	 0.020180 	PHOT	22.3g	 53.907	1	0	15	1	1	4	0
851	IC 4032	195.10686 	  28.86782 	G	  6795	 0.022666 	    	15.0g	 53.908	40	0	55	8	7	12	0
852	ABELL 1656:[EF2011] 6750	195.01131 	  28.87715 	G	  9698	 0.032350 	PHOT	19.3g	 53.926	1	0	0	0	1	0	0
853	SDSS J130309.83+282922.6	195.79100 	  28.48962 	G	  5408	 0.018039 	    	17.7g	 53.956	11	0	45	6	3	8	0
854	2MASX J12565652+2837238	194.23573 	  28.62336 	G	  6566	 0.021902 	    	15.6g	 53.980	29	1	54	8	5	10	0
855	2MASX J12554671+2808385	193.94475 	  28.14395 	G	  6061	 0.020217 	    	17.9g	 54.126	4	0	26	3	2	6	0
856	SDSS J130019.13+285241.3	195.07976 	  28.87815 	G	  7425	 0.024766 	    	18.3g	 54.322	6	0	41	4	1	8	0
857	2MASX J12581769+2708117	194.57367 	  27.13647 	G	 11903	 0.039704 	    	15.6g	 54.427	30	1	30	5	8	6	0
858	SDSS J125549.27+274506.8	193.95534 	  27.75188 	G	  7271	 0.024252 	    	18.3g	 54.506	7	0	15	2	3	4	0
859	2MASX J12562177+2829130	194.09079 	  28.48692 	G	  6595	 0.022000 	    	16.5g	 54.662	8	0	54	6	3	10	0
860	ABELL 1656:[EF2011] 6872	194.67171 	  27.10277 	G	  4656	 0.015530 	PHOT	20.3g	 54.676	1	0	0	0	1	0	0
861	SDSS J125545.37+274746.6	193.93908 	  27.79629 	G	  6863	 0.022893 	    	17.8g	 54.732	5	0	15	1	1	4	1
862	NGC 4944	195.95812 	  28.18573 	G	  6989	 0.023313 	    	13.5g	 54.775	119	3	48	10	10	10	0
863	SDSS J130350.43+281043.0	195.96020 	  28.17860 	G	  6386	 0.021300 	    	18.15	 54.789	9	0	3	3	1	0	0
864	CGCG 160-066	194.65151 	  27.10414 	G	  8000	 0.026685 	    	15.0g	 54.899	37	0	41	8	8	8	0
865	2MASX J13023273+2717443	195.63644 	  27.29556 	G	  7585	 0.025301 	    	15.47	 54.934	16	0	33	6	1	6	0
866	IC 3990	194.91298 	  28.89552 	G	  6210	 0.020714 	    	14.5g	 54.966	58	1	61	11	10	14	0
867	2MASX J12561464+2730230	194.06096 	  27.50630 	G	  7451	 0.024854 	    	16.8g	 55.105	17	0	28	3	4	6	0
868	SDSS J130353.83+274919.0	195.97431 	  27.82196 	G	  4959	 0.016540 	    	18.76	 55.136	8	0	21	4	1	4	0
869	SDSS J125714.06+271513.6	194.30865 	  27.25373 	G	  5174	 0.017259 	    	17.8g	 55.330	16	0	27	5	3	4	0
870	2MASX J12581200+2707396	194.55010 	  27.12764 	G	 11662	 0.038900 	    	17.4g	 55.389	11	0	37	5	0	6	0
871	2MASX J12583026+2851317	194.62608 	  28.85885 	G	  7973	 0.026595 	    	16.0g	 55.432	15	0	51	5	5	10	0
872	2MASX J12554777+2815215	193.94873 	  28.25633 	G	  8107	 0.027042 	    	16.2g	 55.519	14	0	20	6	7	6	0
873	SDSS J125556.29+273635.2	193.98458 	  27.60978 	G	  6857	 0.022873 	    	17.2g	 55.849	9	0	19	3	1	4	0
874	UGC 08167 NOTES01	195.97864 	  28.18765 	G	  6910	 0.023049 	    	16.0g	 55.858	19	0	26	3	2	6	0
875	SDSS J125623.30+272551.3	194.09712 	  27.43094 	G	  7915	 0.026400 	    	20.1g	 56.016	4	0	18	2	0	4	0
876	2MASX J12554423+2742595	193.93447 	  27.71659 	G	  7138	 0.023810 	    	17.87	 56.145	13	0	30	4	1	6	0
877	ABELL 1656:[EF2011] 7558	194.60550 	  28.86795 	G	  9345	 0.031170 	PHOT	24.3g	 56.293	1	0	0	0	1	0	0
878	2MASX J12560357+2826049	194.01499 	  28.43477 	G	  6833	 0.022791 	    	16.5g	 56.468	9	0	30	4	4	6	0
879	SDSS J125744.99+270919.6	194.43749 	  27.15546 	G	  7191	 0.023987 	    	19.68	 56.485	6	0	19	2	0	4	0
880	SDSS J125611.34+272836.4	194.04726 	  27.47680 	G	 11869	 0.039590 	PHOT	21.9g	 56.658	2	0	21	1	1	4	0
881	2MASX J12561667+2726450	194.06957 	  27.44598 	G	  6386	 0.021301 	    	15.8g	 56.689	19	0	31	4	2	6	0
882	SDSS J125534.07+275029.9	193.89200 	  27.84167 	G	  7095	 0.023666 	    	16.3g	 56.706	12	0	10	5	5	0	0
883	SDSS J125558.39+282426.5	193.99332 	  28.40737 	G	  6014	 0.020059 	    	17.1g	 56.718	8	0	21	4	3	4	0
884	GALEXMSC J125713.97+271325.3  	194.30733 	  27.22455 	G	  6865	 0.022900 	    	19.25	 56.764	6	0	9	3	0	0	0
885	IC 3991	194.91577 	  28.92657 	G	  6003	 0.020024 	    	14.8g	 56.823	40	0	51	6	7	12	0
886	2MASX J13011575+2852202	195.31567 	  28.87218 	G	  7135	 0.023800 	    	16.9g	 56.902	14	0	54	6	3	10	0
887	SDSS J130004.58+270156.8	195.01911 	  27.03247 	G	  6974	 0.023263 	    	17.4g	 56.970	8	0	17	3	3	4	0
888	2MASX J12553572+2746015	193.89875 	  27.76714 	G	  6680	 0.022282 	    	16.4g	 57.201	13	0	34	5	3	6	0
889	2MASXi J1304047+275101	196.01980 	  27.85052 	G	  6360	 0.021215 	    	17.68	 57.249	12	0	25	5	1	4	0
890	CGCG 160-119	195.79057 	  28.58352 	G	  6922	 0.023089 	    	15.0g	 57.304	44	0	60	10	9	10	0
891	2MASX J12581552+2705137	194.56491 	  27.08722 	G	  7855	 0.026200 	    	17.2g	 57.351	14	0	43	5	1	6	0
892	SDSS J125528.17+275658.8	193.86739 	  27.94969 	G	  6228	 0.020776 	    	17.5g	 57.401	10	0	21	4	3	4	0
893	2MASX J13040798+2757542	196.03318 	  27.96496 	G	  6123	 0.020424 	    	16.3 	 57.405	18	0	34	5	2	6	0
894	SDSS J125553.00+273421.2	193.97086 	  27.57258 	G	  8304	 0.027700 	    	18.4g	 57.440	4	0	27	4	1	4	0
895	2MASX J12564748+2717328	194.19753 	  27.29228 	G	  7787	 0.025975 	    	17.0g	 57.466	17	0	41	4	3	6	0
896	2MASX J12584321+2854356	194.68006 	  28.91006 	G	  8362	 0.027893 	    	15.6g	 57.592	33	2	56	5	6	10	0
897	SDSS J125932.49+270106.5	194.88541 	  27.01847 	G	  3607	 0.012030 	PHOT	22.4g	 57.794	2	0	23	2	1	4	0
898	SDSS J130354.42+281837.9	195.97679 	  28.31054 	G	  8017	 0.026742 	    	17.4g	 57.829	8	0	38	4	2	8	0
899	SDSS J125740.93+270740.7	194.42055 	  27.12799 	G	  5606	 0.018700 	    	19.32	 58.365	4	0	27	3	0	4	0
900	2MASX J13031368+2722084	195.80697 	  27.36908 	G	  6371	 0.021251 	    	16.77	 58.456	13	0	33	5	2	6	0
901	SDSS J130222.30+271116.5	195.59308 	  27.18777 	G	 10706	 0.035712 	    	18.91	 58.557	8	0	6	3	0	0	0
902	2MASXi J1302355+284443	195.64804 	  28.74524 	G	  6128	 0.020441 	    	16.9g	 58.876	13	0	45	6	3	8	0
903	KISSR 0170	195.13042 	  28.95039 	G	  6895	 0.023000 	    	17.72	 58.996	12	0	7	2	2	0	1
904	SDSS J130031.20+285701.9	195.13003 	  28.95054 	G	  6988	 0.023311 	    	17.2g	 59.002	4	0	35	2	2	8	1
905	CGCG 160-015	193.85438 	  27.79803 	G	  7356	 0.024537 	    	14.7g	 59.119	54	0	44	8	7	10	1
906	SDSS J125519.10+275530.3	193.82965 	  27.92507 	G	  6475	 0.021599 	    	18.62	 59.470	7	0	20	4	1	4	0
907	2MASX J12551999+2751599	193.83333 	  27.86669 	G	  6973	 0.023259 	    	15.7g	 59.589	14	0	34	5	3	6	0
908	SDSS J130327.91+283351.1	195.86634 	  28.56422 	G	  4786	 0.015966 	    	16.6g	 59.777	8	0	45	5	1	8	0
909	2MASX J13041288+2811372	196.05368 	  28.19363 	G	  6412	 0.021388 	    	15.76	 59.812	9	0	34	5	3	6	0
910	[MBC2001] 085850	194.46396 	  27.08103 	G	  7945	 0.026500 	    	19.13	 59.817	3	0	3	0	0	0	0
911	GALEXASC J125708.48+271027.0  	194.28604 	  27.17341 	G	  5996	 0.020000 	    	19.04	 59.908	6	0	7	2	0	0	0
912	CGCG 160-125	196.04228 	  28.24796 	G	  5955	 0.019864 	    	15.1g	 59.998	42	0	41	10	7	6	0
913	SDSS J125838.69+270047.6	194.66120 	  27.01320 	G	  7015	 0.023400 	    	17.4g	 60.010	14	0	15	4	1	0	0
914	SDSS J125827.08+270124.4	194.61289 	  27.02347 	G	  7549	 0.025182 	    	17.7g	 60.131	19	0	30	4	4	4	0
915	SDSS J130316.65+272008.0	195.81940 	  27.33558 	PofG	 10594	 0.035339 	    	17.9g	 60.247	2	0	0	0	0	0	0
916	SDSS J125637.79+284211.9	194.15750 	  28.70332 	G	 10407	 0.034713 	    	18.1g	 60.290	7	0	45	5	2	8	0
917	2MASX J13031978+2837024	195.83252 	  28.61727 	G	  5954	 0.019861 	    	16.8g	 60.296	8	0	50	5	3	10	0
918	SDSS J125949.25+265827.5	194.95524 	  26.97433 	G	  7072	 0.023590 	    	17.2g	 60.341	15	0	24	3	2	4	0
